recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ghidra_discovered	entry_evidence	qualification
1	thread_ring_entry	semantic behavior label	0x004C4CEC	0x004C4D64	120	9221b6fa62b73690388e167fb469d4f46921b27bc85ba03094860fb1387008e2	no	no	stored Thumb pointer at 0x004C5650	initializes ring resources, marks lifecycle ready, then waits forever on CMSIS thread flags and dispatches them
2	thread_ring_init_hook	semantic behavior label	0x004C4D64	0x004C4D66	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	no	no	internal BL at 0x004C4CF6	intentional empty initialization hook
3	thread_ring_queue_init	semantic behavior label	0x004C4D66	0x004C4D8E	40	6e5fa28916cf1caa18bff221028956750c2316e93b8df1964209796fbb501a8d	no	no	internal BL at 0x004C4CF2	creates a three-entry four-byte CMSIS message queue and fail-stops if allocation fails
4	thread_ring_resource_hook	semantic behavior label	0x004C4D8E	0x004C4D90	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	no	no	internal BL at 0x004C4CFA	intentional empty resource hook
5	thread_ring_state_enter	semantic behavior label	0x004C4D90	0x004C4D9A	10	4964ae46ea60aae0dfea37e7be4b4452eb22ffd0b8be56d91e94874ce749bb55	no	no	internal BL at 0x004C4CEE	marks ring thread lifecycle state active
6	thread_ring_state_ready	semantic behavior label	0x004C4D9A	0x004C4DA4	10	75998485a34ca7b4d8c3fee018063c74bac6fa1b07b38e9938f2177dc20bd446	no	no	internal BL at 0x004C4CFE	marks ring thread lifecycle state ready
7	thread_ring_create	semantic behavior label	0x004C4DA4	0x004C4DD0	44	f58c7cdd965800d3c53a1ae2ca85c4953bef103f02d57478c373ada337920a69	no	no	packed stored Thumb pointer at 0x00794121	creates the CMSIS thread from its retained descriptor
8	thread_ring_terminate	semantic behavior label	0x004C4DD0	0x004C4DE8	24	d87ee6a8c466f99f3e5c23ff1ce200a39742105adc85bb5c6ccb6c0e2a62160b	no	no	authenticated source-order prologue	terminates and clears the retained CMSIS thread handle when present
9	_thread_msg_handler	exact retained diagnostic symbol	0x004C4DE8	0x004C4EE4	252	e3c3ee5f9cd1bb2eccbdfecf46d1e5b7817e9d48759bd1ff9cf95cb35140f241	yes	yes	internal BL at 0x004C50CE	gets ring records, dispatches four known message IDs, and frees each record
10	app_ring_enable_touch	exact retained diagnostic symbol	0x004C4EE4	0x004C4FE4	256	cab3f06ac102c647a101d3d8a317e2f318acc9e12c6f0c1331d94140b4f8e9e2	no	no	stored callbacks at 0x00472C68, 0x004A26D8, 0x004A3500, and 0x004C56B0	restarts phone advertising when touch becomes enabled unless the phone is already connected
11	app_ring_disable_touch	exact retained diagnostic symbol	0x004C4FE4	0x004C5032	78	f1298ac604abf9d44dab188ff2bf01e53ee24b7c2af625efb9b30f30324b02b5	no	no	stored callback at 0x00472C64	disables ring touch policy through the closed Ring service
12	_ring_enable_pair	exact retained diagnostic symbol	0x004C5032	0x004C507E	76	ccde7c51e6548104d04f8310e6ee95c9efc26ca6a00de6f1465ff8479ff74818	no	no	stored callback at 0x004C56AC	enables ring pairing policy through the closed Ring service
13	_thread_notify_event_handler	exact retained diagnostic symbol	0x004C507E	0x004C53A6	808	cd265433e939f0e0a5026f7ca537066f5213f18d7fcf277c6dc3dd9d45eec9b7	yes	yes	internal BL at 0x004C4D04	dispatches queue, touch, pair, discovery, disconnect, heartbeat, reconnect, advertising, and exit flag bits
14	_thread_exit	exact retained diagnostic symbol	0x004C53A6	0x004C543E	152	71dbf274cc503e668b504bc2726d7c0838d5ee03ded3d1ce3b83c92b8ca966fa	yes	yes	internal BL at 0x004C53A0	marks lifecycle exit, deletes the queue, logs, and blocks forever in osDelay
15	Thread_SendEvtToRingTask	exact retained diagnostic symbol	0x004C543E	0x004C548C	78	2504c20e482fe2c344dc3c6b7757315a27913f414dbaf4b3e416baf44f449cd3	yes	yes	twelve direct callers in the authenticated image	sets ring thread flags
16	Thread_SendMsgToRingTaskWithId	exact retained diagnostic symbol	0x004C548C	0x004C549C	16	ca041a24cffbcb08b27531154b822d996c893d63e557a9dfeca0a85836b9f12b	no	no	direct callers at 0x004C490A and 0x005FA000	wraps the generic ring record sender with message ID 2
17	ring_task_msg_send	exact retained diagnostic symbol	0x004C549C	0x004C5632	406	c23c0935aca13135749964807817be43bd93bc445b3a36fc7a894fa1d3681953	yes	yes	internal BL at 0x004C5496 plus external Ring-service callers	allocates, populates, and queues a ring task record with bounded failure cleanup
