source_order	function	identification	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	provider_role	behavior
1	compress_log_path_format	semantic filename formatter	0x0044A474	0x0044A488	20	333851719ef71146cbf602e9205e5848bc2a58358c30b55823b72998e6a1ee26	no	G2 compact-log port	formats /log/compress_log_%d.bin into a bounded caller buffer
2	compress_log_file_exists	semantic file probe	0x0044A488	0x0044A4B0	40	35bd51c3f79dc2b9a0bdc9ffd1193de30d808ba61ba72f8bc7a40b2b1469f47e	no	G2 compact-log port	opens a numbered file read-only and closes it when present
3	compress_log_manager_reconcile	semantic rotation-state repair	0x0044A4B0	0x0044A530	128	06cf3ed2495e5f8e3c1b36b225b80fe3d86dc65ec03e50c2d9188caa28cb7e7e	no	G2 compact-log port	reconciles the five-slot file ring against files present on flash and persists changes
4	compress_log_manager_load	semantic manager loader	0x0044A530	0x0044A5E0	176	b3d81dcfd91e2a40b153034450dc21c94898d45f8aa687a0dfdd86bb53838e6a	no	G2 compact-log port	loads and validates the 12-byte manager record or resets it to defaults
5	compress_log_manager_save	semantic manager writer	0x0044A5E0	0x0044A622	66	d80d305c90596c6b5ef5c2266f899e72919298972c66cc80e83ccd676faac3de	no	G2 compact-log port	writes the 12-byte manager record to /log/compress_manager.bin
6	compress_log_file_remove	semantic numbered-file remover	0x0044A622	0x0044A63A	24	f0134b3c5a74062903cb7cad18e5cdcdbb54dba141d999240d478883f02d827f	no	G2 compact-log port	formats and removes one numbered compact-log file
7	_write_file_version_header	exact retained diagnostic symbol	0x0044A63A	0x0044A71A	224	2e95dcfa61c64adfdac66793268de2dba6ab0cfed53368c2fa78fc0d0377d23f	yes	G2 compact-log port	writes the Software_Version header at the start of a newly opened file
8	compress_log_rotate_file	semantic five-file rotation helper	0x0044A71A	0x0044A78E	116	0c228670d99da8142ab9bb40bb305a1702aeb5dd7f0c27caed939e4e21479fd0	no	G2 compact-log port	advances the active file removes the oldest when full writes the version header and saves state
9	compress_log_sync_to_files	exact retained diagnostic symbol	0x0044A798	0x0044A8B6	286	b913b20bf92841ea5243a841cd523640c736f4e67a6ed7a960600cc6b5c44d4f	yes	G2 compact-log port	appends caller bytes across 512000-byte rotating files and persists manager progress
10	compress_log_export_timeout_callback	exact retained symbol in restored stored callback	0x0044A8B6	0x0044A8FA	68	8a58188d829ff115bceb1296035faccd364af459a4ab06d0f191ef4894e3617b	no	G2 compact-log port	logs export timeout and clears the export-active flag
11	compress_log_export_notify	exact retained diagnostic symbol	0x0044A904	0x0044A9AE	170	5f05e0bc401d0af80df5d8ad28c880a959683aaf8240e3023eb3f8eb914bd5d0	yes	G2 compact-log port	sets export state and schedules or cancels the 120000-tick timeout callback
12	compress_log_export_active	semantic state accessor	0x0044A9AE	0x0044A9B4	6	527172205113ef50f09d88d57979d81da3197e4ddff0ab0e383699f7462a54a6	no	G2 compact-log port	returns the one-byte export-active flag
