source_order	function	identification	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	provider_role	behavior
1	__NVIC_EnableIRQ	exact CMSIS-Core inline semantics	0x0057A46C	0x0057A48A	30	f79e105a518631f25f5653abe62f1fbc6614567521ff8179b9db417634987915	no	CMSIS-Core definition emitted in the G2 object	writes the appropriate NVIC ISER word for a nonnegative IRQ number
2	__NVIC_DisableIRQ	exact CMSIS-Core inline semantics	0x0057A48A	0x0057A4B0	38	7919d1d03c3dcb29a85bd158cb7ff4a40142e349bfa7429632b373ffb1d840e2	no	CMSIS-Core definition emitted in the G2 object	writes the appropriate NVIC ICER word then executes DSB and ISB
3	__NVIC_SetPriority	exact CMSIS-Core inline semantics	0x0057A4B0	0x0057A4D8	40	ca5f717dbab7febaf349629270eec7379fd595f0ac0128481f82a83a8b422360	no	CMSIS-Core definition emitted in the G2 object	writes an external or system-handler priority byte using the implemented priority-bit shift
4	gx8002_i2s_isr	stored vector entry and exact Ambiq I2S call sequence	0x0057A4D8	0x0057A508	48	1e35307e5e636489f142be62a6f7b497283018376b3f18af19b1b45a595384bb	no	G2 host adapter	reads and clears enabled I2S interrupt status, services the Ambiq HAL, then signals the audio thread on RX DMA completion
5	DRV_Gx8002_PowerOn	exact retained function string and path anchor	0x0057A508	0x0057A5BC	180	5b1b24705b699ccbaebb71a8804bd51cdf44cd3a712b5c9e5749c7081da19c88	yes	G2 host adapter	idempotently raises three shared codec power-control lines with 5 ms and 20 ms delays
6	DRV_Gx8002_PowerOff	exact retained function string and path anchor	0x0057A5BC	0x0057A656	154	e8b8c5a0c7ad40c93bd3cb7fc5ffec1f6f0689481616441a6faa80d92c97379b	yes	G2 host adapter	idempotently clears the three codec power-control lines
7	gx8002_power_state_get	single-byte state accessor between exact named functions	0x0057A656	0x0057A65C	6	2df5eddbd8f0d3096bfa4f5dacd37fbc1de98961b60a9f2f0261ef4ad2b3775b	no	G2 host adapter	returns the cached power state byte
8	DRV_Gx8002_I2SInit	exact retained function string and recovered raw path references	0x0057A65C	0x0057A734	216	1d8b81348af10ad6b18ebb670b86af5881325f1fa65b3004c75968214e5ff6a0	no	G2 adapter over AmbiqSuite	initializes, powers, configures, DMA-configures, enables, prioritizes, and starts Apollo510 I2S
9	DRV_Gx8002_I2SDeinit	exact retained function string and recovered raw path references	0x0057A734	0x0057A7E0	172	aef3d5270a3fdd23b7e0075e1c472cd4af169c57f2959a37c2de4fa433b03381	no	G2 adapter over AmbiqSuite	disables the IRQ and I2S block, powers it down, and deinitializes the HAL handle
10	gx8002_i2s_rx_buffer_timestamp_get	Ambiq buffer query plus first-party timestamp conversion	0x0057A7E0	0x0057A80E	46	0b8d3c1ef22dfdfbed10aecaa56330d6e991d09eaccc048b6010d963921b8925	no	G2 host adapter	returns the inactive RX DMA buffer and its converted timestamp
11	gx8002_audio_thread_notify	stored callback wrapper	0x0057A80E	0x0057A816	8	0f68efe4aee441e4247418834183853d3cc4b95bf5ec5696cd8f5dc2a6757075	no	G2 host adapter	forwards a stored callback to the audio thread
12	DRV_Gx8002_Reboot	exact retained function string and path anchor	0x0057A816	0x0057A870	90	1d61e12f5ae08ee23f3d20dfb77278f946e514ff7206ffe35c00080a5367fd9c	yes	G2 host adapter	power-cycles the codec, waits 1.5 seconds when requested, and records completion
