recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ingress	evidence
1	_bleSlaveConnUpdate	exact retained function string and prior-G2 symbol	0x00476CBC	0x00476DB8	252	3adb0df7eead732c5bd120355fa84d5faa7a263a7646c27b37029f0a7b0e5537	yes	3 direct BL sites	checks the DM connection handle and either submits the selected parameter profile or schedules a 2000 or 4000 ms retry
2	_isConnParamsFast	exact retained function string and prior-G2 symbol	0x00476DB8	0x00476FE2	554	2ccc561cc2ef8b85fc9406a01276cca0db60629c9bf2690ded7ad41cd3b0dcf7	yes	direct BL at 0x004774AE	classifies the live interval as fast below 25 BLE units and returns mode event 0xA3 or 0xA4
3	_isConnParamsSlow	exact retained function string and prior-G2 symbol	0x00476FE2	0x0047720C	554	775b7acfdbaf8e144512e6e8c46e0c64fe0c78e2aec632974323422eca0d24c8	yes	2 direct BL sites	classifies the live interval as slow at 72 BLE units or above and returns mode event 0xA3 or 0xA4
4	_connectParamReq_impl	exact retained function string and prior-G2 symbol	0x0047720C	0x0047761C	1040	4876e44812289dd077095e7bf16df75a248f99d935670e475ba7ca0b6465a1ff	yes	direct BL at 0x004786AA	validates the active peripheral connection deduplicates requests and posts or delays fast and slow parameter changes
5	_connectParamReq	exact retained function string and prior-G2 symbol	0x0047761C	0x0047773E	290	3d0a02c39f02367e96100f7af48fdf6b4a511ef489f59963191664a13fcfddde	yes	3 stored Thumb pointers	posts application event 0xB9 when a valid peripheral handler is available and rejects invalid or central-only state
6	_bleConnParaConnectEvt	exact retained function string and prior-G2 symbol	0x00477774	0x00477A6A	758	245e818a280892c21f31188d178fdb8ac3de6c7262b5301f6521dae222c258c0	yes	direct BL at 0x004785B0	captures initial DM connection parameters selects fast or slow state and schedules the one-minute slow transition outside central mode
7	_connUpdateFinishInd	exact retained function string and prior-G2 symbol	0x00477ADC	0x004780D8	1532	cc754a546e21500f08050282f99fb5c6441030bc8afbc04a9ab0c3ddf298c878	yes	direct BL at 0x004785C6	validates update completion applies the accepted profile and schedules 2 4 10 30 or 60 second recovery and transition delays
8	ble_msgtx_set_config	prior-G2 exact ordered symbol and unchanged state-binding behavior	0x004780DC	0x004780F8	28	70d77a79c1a827372544470bb31c5471fc373d9bcd5ac965222e015ba110f696	no	direct BL at 0x0046EE1C	binds the WSF handler configuration profile and peripheral state pointers
9	ble_msgtx_isConnected	prior-G2 exact ordered symbol and unchanged getter behavior	0x004780F8	0x0047810C	20	c15d9be93aa1369a2929a329dc17a0dccbd8e6d600e3256cf066515a3cac6422	no	direct BL at 0x00475708	returns whether the accepted connection-parameter mode is fast event 0xA3
10	ble_state_skip_manual_start	prior-G2 exact ordered symbol and unchanged scheduling behavior	0x00478110	0x0047814C	60	22eea394b204cd8d043a8d1742570e1851baaa024e1a73b94412471d8003a64f	no	9 external direct BL sites	cancels pending work optionally preserves a one-minute slow transition and immediately requests fast mode
11	APP_ConnectParamESSSetFastMode	exact retained function string and prior-G2 symbol	0x00478160	0x004781F0	144	93515d3cdc13295af7ff201b10a2d4784e98c220e1e20d879f0d2c9ffbb4b10d	yes	external direct BL at 0x00475754	keeps a 30-second failure backoff or immediately schedules fast parameters for the ESS path
12	APP_ConnectParamOTASetFastMode	exact retained function string and prior-G2 symbol	0x004781F4	0x00478252	94	b14278418a85362c8b50e5e7e2c9e1e74501527001c4a50d5ebfa956642714e9	yes	4 external direct BL sites	clears initial slow-transition policy and immediately schedules fast parameters for OTA
13	ble_param_reset_delayed_event	prior-G2 exact ordered symbol and unchanged scheduling behavior	0x00478252	0x0047826C	26	74e977a15b2e7e0285710f7e4de71f31402b852e30c29e338b5a72547b0d972d	no	13 external direct BL sites	resets delayed work and schedules slow parameter mode after the caller-supplied interval
14	APP_ConnectParamHandler	exact retained function string and prior-G2 symbol	0x004782DC	0x004786B4	984	d91e013c2f3b2e807892dcf1e20afabff8d42a39da871aa6a5f0b1efaf9c49ba	yes	external direct BL at 0x0046EF8A	dispatches DM open close update and request events and guards per-connection profile selection for connection IDs 1 through 3
