recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ingress	evidence
1	TPL_Init	exact retained function string and prior-G2 symbol	0x004B892C	0x004B8A12	230	0d201926b6e92b76a18980ecc0bcd7c998380d21362a98e6c7a38e8ba46747c4	yes	external direct BL at 0x004C9502	binds four transport callbacks for a service slot clears the four receive contexts and lazily creates the send mutex
2	_getOrCreateContext	exact retained function string and prior-G2 symbol	0x004B8A12	0x004B8BA2	400	8410882c03e4e6241d8074f5df15217f23f085fef0d262c8204f626cb6049419	yes	internal direct BL at 0x004B9350	matches an active multipart receive context or allocates one of four slots and a packet-assembly buffer
3	tpl_context_free_004b8ba2	descriptive current name with prior-G2 alias ble_comm_session_free	0x004B8BA2	0x004B8BDC	58	f728717d910020a422dfa1764e1f52b8331547ac5b1f6fcf9229877c28a8f64a	no	seven internal direct BL sites	cancels the shared receive timeout frees the assembly buffer clears the in-use byte and zeroes the context
4	tpl_context_mark_packet_004b8bdc	descriptive current name with prior-G2 alias ble_comm_session_mark_packet	0x004B8BDC	0x004B8C14	56	ebe1192eb221553218c4054cae92d83cde89e56ca7938fd3af5bc686e248b59b	no	internal direct BL at 0x004B9450	sets the packet-number bit and increments the received-packet counter
5	tpl_context_packet_seen_004b8c14	descriptive current name; prior-G2 alias PB_RxBaseConnHeartBeat_sub is semantically misleading	0x004B8C14	0x004B8C44	48	eb5e868e70d28ea5869d366d9e79b47841245e3fb8af7dce10aae66027bb3078	no	internal direct BL at 0x004B940C	tests whether the packet-number bit is already present in the context bitmap
6	tpl_schedule_rx_timeout_004b8c44	descriptive current name with prior-G2 alias pb_auth_schedule_keepalive	0x004B8C44	0x004B8C6C	40	d3228b172a2538ce3d564ba1d9868e0c0a722e39b03577ab99ad82148d3d9261	no	three internal direct BL sites	stores service sync and pipe identifiers and schedules _rxNextPacketTimeout after 1500 ms
7	_rxNextPacketTimeout	exact retained function string and prior-G2 symbol; recursively recovered from its stored Thumb pointer	0x004B8C6C	0x004B8DA2	310	b9b57f01addadf3fc790eeef447a76c9311c2982de6ad2523f4e6107cd69966e	no	stored Thumb pointer at 0x004B9A18	checks the BLE handler allocates a 15-byte WSF message copies the three timeout identifiers and sends event 0xB8
8	TPL_RxPacketTimeoutHandler	exact retained function string and prior-G2 symbol	0x004B8DA2	0x004B8F7C	474	5bf305799947d26e8d50444d8af101b712a6ed7c143e145363935898ec52d3cb	yes	external direct BL at 0x0046EB36	finds and frees the matching receive context then emits transport response status 3
9	_rxSyncEventCallback	exact retained function string and prior-G2 symbol	0x004B8F7C	0x004B9012	150	a34b94596bf3e5b26bfaf70dee4db6130dabcb9fb4f139c8ce3291e62e6bda8b	yes	stored Thumb pointer at 0x004B9A34	logs synchronization status and elevates any nonzero result as a dual-glasses communication error
10	_tplReponse	exact retained misspelling and prior-G2 symbol	0x004B9012	0x004B90E6	212	4873e966996d6ac64da21da6c0b7019d78cc817e753016bf0b6439da7e2c2eb9	yes	seven internal direct BL sites	builds an eight-byte response header and dispatches it through the configured local transmit callback
11	TPL_ReceivePacket	exact retained function string and prior-G2 symbol	0x004B910C	0x004B9606	1274	9e4572cc7a447cd8957ebd80f5896bfefae83cc6f218291208af58b053142e2b	yes	external direct BL at 0x004BDF46	validates the 0xAA packet family handles response frames assembles multipart payloads checks CCITT CRC and dispatches completed service data
12	TPL_SendPacket	exact retained function string and prior-G2 symbol	0x004B9640	0x004B9980	832	e7093bcc19d44ca7fa129b2bdeb3d70eeb93c0588ce04d815e74f158fcc4ba94	yes	external direct BL at 0x004753FA	serializes up to 4096 payload bytes into 8-byte-header fragments appends a two-byte CCITT CRC to the last fragment and protects the static buffers with a mutex
13	tpl_reset_receive_contexts_004b9984	descriptive current name with prior-G2 alias thread_ble_msgrx	0x004B9984	0x004B99B6	50	2d5e326b123141f45ba18da0af04f89babbde98bc9878e761d3bb69bb24d1ce4	no	five direct BL sites including external 0x0046E586	cancels the receive timeout and frees all four live multipart contexts
