source_order	function	identification	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	provider_role	behavior
1	service_algo_front_buffer_get	semantic buffer accessor	0x005915DC	0x005915EA	14	6aa985f206ed66407c01d418140abe786bd7a8d326fe2c76ab70c545dfb9d9e0	no	G2 audio algorithm	returns the mono working buffer and fixed 1600-byte size
2	algo_front_data_preprocess	exact retained diagnostic symbol	0x005915EA	0x0059173A	336	99fa0c912d9a7aedbce7838ac31bb7921d105a24fab01dee422cc4feaf459f36	yes	G2 audio algorithm	splits 800 interleaved stereo frames computes a mono average and stores channel mean-square energy
3	SVC_SSRProcess	exact retained diagnostic symbol	0x0059173A	0x0059187A	320	cf6e5ec4bd2d1daac63427e106094ae53e8c0cb2516318231812f9e47e9c5f2d	yes	G2 audio algorithm	compares current channel energy against the rolling ten-window baseline and returns a bounded ratio
4	service_algo_quiet_nan	semantic constant helper	0x0059187A	0x0059188E	20	a35f5746784d3affd2f55a7a9e68323056483e2b3d738ff0fb01d256cf31e5df	no	G2 audio algorithm	returns the canonical quiet NaN used for unavailable floating results
5	service_algo_float_hook	semantic no-op hook	0x0059188E	0x005918B0	34	c5293fd63b23610d5d29beb387445a5bbf93f4f92bd72879ab193a8dd26f2d7c	no	G2 audio algorithm	preserves an empty compiler-emitted floating-point hook
6	service_algo_delay_to_angle	semantic trigonometric helper	0x005918B0	0x005918CC	28	3bfc72be8b8bdc7511bdae236d3bfa0a5bfa01c785522731ab2b090729a52549	no	G2 audio algorithm	scales a normalized delay and calls IAR asin
7	service_algo_cross_correlation	semantic signal-correlation core	0x005918CC	0x00591BA4	728	60236d20621bee5d169103c082191c11bb5015491c16a288bf430f03a94d042f	no	G2 audio algorithm	searches lag minus ten through plus ten and computes energy and correlation thresholds
8	service_algo_source_angle	semantic angle estimator	0x00591BA4	0x00591BFC	88	58d98b85e806fac8ca6669b6b7156e6b50afab7a1caad4f9a6be02384b90c20e	no	G2 audio algorithm	converts the best normalized correlation delay to signed degrees
9	service_algo_process	semantic top-level wrapper	0x00591BFC	0x00591C26	42	f321936583328cff06336f862701cda52ed7f2edf716a7006acc712a6784becf	no	G2 audio algorithm	preprocesses one frame and returns SSR and angle results through two shorts
10	service_algo_energy_window_update	semantic rolling-window updater	0x00591C26	0x00591C8C	102	b205271c0376907d7d62c2965b81173381e0c757273bfae5a66d6b24ede862e9	no	G2 audio algorithm	stores mean-square energy into a modulo-ten rolling window
