recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress	evidence
1	am_devices_mspi_jbd4010_term	descriptive high confidence	0x00592658	0x00592680	40	586421a4952b1605231e3342bf64b6ea804b209b79d4a5a279726d5aa79b0cf7	external ULED operations table entry at 0x0070B024	tears down the published MSPI handle through three Ambiq HAL operations
2	am_devices_mspi_jbd4010_init	descriptive high confidence	0x00592680	0x005926B4	52	aaeb07dd7d51200678c5b20809cbab18f265edaee7bceb29c3e8fac0f7cd408e	external ULED operations table entry at 0x0070B02C	publishes caller state, invokes common MSPI initialization, then performs panel startup
3	jbd4010_vtable_init	historical semantic label	0x005926B4	0x005926EE	58	3b3513389d69213e73f590e24cbbc5521759c178ae58b7189a743e55fac237b4	BL at 0x005926AE and external ULED operations table entry at 0x0070B030	conditional power sequencing around configure, chip-ID, clear, and startup operations
4	jbd4010_write_command	historical semantic label	0x005926EE	0x0059271E	48	da396a8e4e9cf80a557d652d6b003ce7b4890100effa174bcedd344a3b0335f5	many intra-object BL sites	builds a 28-byte request from the command template and calls the common blocking writer
5	jbd4010_write_data_block	historical semantic label	0x0059271E	0x0059275E	64	0fb8a78a011eed972c460184249d2b50482f66a3c826d2130ced2c9cc90f49f8	BL at 0x00592D66	builds the QSPI data request and calls the common blocking QSPI writer
6	jbd4010_read_response	historical semantic label	0x0059275E	0x00592792	52	00b101349b8fe1da8918bdbc585c0e89f9d3def63a29dab3ad1c2de5b03165d1	BL at 0x00592FB2 and two status-check sites	builds the normal response request and calls the common blocking reader
7	jbd4010_read_die_response	descriptive high confidence	0x00592792	0x005927CA	56	72c09f1cc8ff2aecf5779fd81c010928c55ba8aaf014411008b6e903fa5f6361	BL at 0x005930AA	uses the alternate device-one request template for the 12-byte die-ID read
8	am_devices_mspi_jbd4010_configure	exact historical diagnostic/semantic label	0x005927CA	0x00592AA8	734	53e3598179d60ef189ff540f7ff148a01cb2051249b6decffe8b7250c04abceb	BL at 0x005926C4 and 0x005935D4	programs the panel command sequence and calibrated offsets
9	am_devices_jbd4010_set_display_offset	exact retained diagnostic label	0x00592AA8	0x00592C78	464	ad7bf422a21e5bcc8f7cb25f322284856eaca8f809e3d4963e320d8e55e4200c	BL at 0x00592A9E and external ULED operations table entry at 0x0070B048	clamps X/Y offsets, programs commands A9/C0/A3/97, and diagnoses each failure
10	jbd4010_configure_gpio_pins	historical semantic label	0x00592C78	0x00592CB4	60	809abce206c1ccbaec57ee922ee4fc7ca0b7767a067d5419a8feec12d91c29ef	BL at 0x0059320A and 0x005932AA	selects product-revision GPIO priorities for panel power sequencing
11	am_devices_jbd4010_QSPI_PartialReflash	exact retained function string	0x00592CB4	0x00592DEA	310	30c842d241fdb3167b4997a28837349b31ab6f6c0cff5e1e9ab8fc616139805e	external ULED operations table entry at 0x0070B050	bounds a 640x480 region and writes each half-byte scanline with two temporary zero tail bytes
12	am_devices_jbd4010_QSPI_PartialReflash_async	exact retained function string	0x00592DEA	0x00592E9C	178	6b7214f72e7c6f8486735d3837f5705a3216c864940e5d6112c189d9dca483cd	BL at 0x005931F2, 0x00593632, 0x005937F6 and external table entry 0x0070B04C	builds an asynchronous full-frame request, submits it, then latches with command 97
13	am_devices_mspi_jbd4010_setBrightness	exact retained function string	0x00592E9C	0x00592F9A	254	c8df1b920149e62cb1cb5878d9c7430087384c8559d529c031df96f4fef25307	BL at 0x00593642 and external ULED operations table entry at 0x0070B03C	logs eye/level/luminance/current and programs commands 36/46/31
14	am_devices_mspi_jbd4010_read_chipId	exact retained function string	0x00592F9A	0x0059307E	228	dc9e1d90e42699693364a2fcb796496812c7af272edc0daa198687c9442ee828	BL at 0x0057E610 and 0x005926CA plus external table entry 0x0070B028	reads command 9F and returns the two-byte panel device ID
