kind	name	start	end	size	sha256	disposition	provider	license_status	evidence
function	stage_one_entry	0x00423d20	0x00423d58	56	e4c5106b0aba4050c24d6e8afc548516c92c295bec52ed0397c029a4bad40850	exact_source_candidate	openCFW clean-room target assembly	MIT	entry used by guarded teardown through Thumb seam 0x00423d21
function	stage_one_status	0x00423d58	0x00423d7a	34	147c53dc0c6246332d50080fbb99095103cdf73f3c89014027bdaa261ab30e68	exact_source_candidate	openCFW clean-room target assembly	MIT	closes both local wait predicates and retained delay seam
function	stage_one_wait_reg80	0x00423d7a	0x00423d9a	32	43b8c7f2aeaba4ddf52365d8bb3eefb7391bdd57169fe64c618552989a536824	exact_source_candidate	openCFW clean-room target assembly	MIT	waits for mask 0x00800000 to clear at 0xe0000e80
data	stage_one_register_literal	0x00423d9a	0x00423da0	6	7cf4979cad48b6ce2b499300c3c3b8ed96387be1abbadcd932aba625b082f975	authenticated_literal	stock address constant	fact only; no code license claim	two-byte alignment plus 0xe0000e80
function	stage_one_wait_index	0x00423da0	0x00423dc4	36	c5f33fc0af91c57d50e522764587e3d6aa5a7bd031187567023c6d825b333c36	exact_source_candidate	openCFW clean-room target assembly	MIT	waits for masked value one at 0xe0000000 plus four times index
function	stage_one_wait_zero	0x00423dc4	0x00423dce	10	721f0a9d955a564fa40b09a08980d999ef5cddfb5c55598a28093affa4ef86a6	exact_source_candidate	openCFW clean-room target assembly	MIT	typed zero-index wrapper
provider	delay_status_change	0x0041d21c	0x0041d21c	0	-	typed_retained_provider	Even first-party retained bootloader service	source and binary redistribution authority unresolved	timeout/address/mask/expected ABI authenticated from three cluster calls and existing debug source
provider	debug_disable	0x00422468	0x004224b2	74	-	source_owned_provider	AmbiqSuite-compatible openCFW source	BSD-3-Clause	exact source-owned in-place provider
provider	retained_delay	0x0041d1c0	0x0041d1c0	0	-	typed_retained_provider	Even first-party retained bootloader delay	source and binary redistribution authority unresolved	duration-500 call ABI authenticated
frontier	next_sequential_entry	0x00423dd0	0x00423e40	112	b6f037077c2577f042a56ca31101ce7c6734eda572bf1d613195bb3967064c12	source_owned_successor_with_literals	concurrent openCFW clean-room production source plus retained literals	GPL-3.0-or-later executable source; eight fact-only literal bytes	stage-two status and state mapper are exact production source-owned; next production gap begins at 0x00423e40
