metric	value
retained_path	app\gui\conversate\conversate_comm_data.c
linked_functions	12
ghidra_discovered_functions	12
additional_recovered_functions	0
path_anchored_functions	6
body_bytes	2208
body_concat_sha256	27e0783249547617bd7841360e6df6ec6fbb690bbf73a1f90a627d9e8d00138a
physical_interval	[0x005B3EF8,0x005B48F8)
physical_bytes	2560
physical_sha256	ee090313b610b346eca7b536814d4039b2bbfcd417df44907f33571726a27450
noncode_bytes	352
noncode_concat_sha256	4d1259e267fe3d8a2ea208244635a5fb485b33e37587b6920654cf9202c27e62
reachable_instructions	871
reachable_instruction_digest	a9fc9ce78f0e5828ddb58431a053f6d15b5225f79cd606fb249c99438e9a80d4
direct_bl_entry_sites	22
direct_bl_entry_digest	4f2fb75a63eec880a3a91505f901a772b223ec87ea76fc52b7a372d0d58d4791
stored_function_entry_pointers	0
raw_instruction_word_interior_collisions	1
direct_body_calls	77
internal_direct_body_calls	5
external_direct_body_calls	72
direct_body_call_digest	b0c2e1915edcb8832b8ead5e9242eda9fa33021a70f22278ee52cba7ea763693
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger IAR DLIB and LVGL text measurement
private_producing_commit_observable	false
production_routed	false
